catalog_id,display_name,canonical_mod_name,armor_weight_tier,nexus_url,nexus_game_domain,nexus_mod_id,image_url,image_source_url,image_rank,included_in_modlists,source_sections,source_versions,entry_type,status,notes,last_verified
skyrimspecialedition-163162,(Grimlook33) Night Prowler Bodysuit,(Grimlook33) Night Prowler Bodysuit,Unknown,https://www.nexusmods.com/skyrimspecialedition/mods/163162,skyrimspecialedition,163162,,,,JOJ; HOH; MOM; DOD,JOJ: New Armors & Clothing - Exotic; HOH: New Armors & Clothing - Exotic; MOM: New Armors & Clothing - Exotic; DOD: New Armors & Clothing - Exotic,JOJ: 1.0.0.0; HOH: 1.0.0.0; MOM: 1.0.0.0; DOD: 1.0.0.0,Catalog Item,Needs Weight,,2026-05-23
skyrimspecialedition-138426,[Ashtoreth] Frostwardens Regalia,[Ashtoreth] Frostwardens Regalia,Unknown,https://www.nexusmods.com/skyrimspecialedition/mods/138426,skyrimspecialedition,138426,,,,JOJ; HOH; MOM; DOD,JOJ: New Armors & Clothing - Immersive; HOH: New Armors & Clothing - Immersive; MOM: New Armors & Clothing - Immersive; DOD: New Armors & Clothing - Immersive,JOJ: 1.0.0.0; HOH: 1.0.0.0; MOM: 1.0.0.0; DOD: 1.0.0.0,Catalog Item,Needs Weight,,2026-05-23
skyrimspecialedition-120954,[Ashtoreth] Maya Instinct Killer,[Ashtoreth] Maya Instinct Killer,Unknown,https://www.nexusmods.com/skyrimspecialedition/mods/120954,skyrimspecialedition,120954,,,,JOJ; HOH; MOM; DOD,JOJ: New Armors & Clothing - Immersive; HOH: New Armors & Clothing - Immersive; MOM: New Armors & Clothing - Immersive; DOD: New Armors & Clothing - Immersive,JOJ: 1.0.0.0; HOH: 1.0.0.0; MOM: 1.0.0.0; DOD: 1.0.0.0,Catalog Item,Needs Weight,,2026-05-23
skyrimspecialedition-132260,[ELLE] Bio Spike,[ELLE] Bio Spike,Unknown,https://www.nexusmods.com/skyrimspecialedition/mods/132260,skyrimspecialedition,132260,,,,JOJ; HOH; MOM; DOD,JOJ: New Armors & Clothing - Exotic; HOH: New Armors & Clothing - Exotic; MOM: New Armors & Clothing - Exotic; DOD: New Armors & Clothing - Exotic,JOJ: Main Installer; HOH: Main Installer; MOM: Main Installer; DOD: Main Installer,Catalog Item,Needs Weight,,2026-05-23
skyrimspecialedition-83261,[full_inu] Queen Marika's Dress SSE,[full_inu] Queen Marika's Dress SSE,Unknown,https://www.nexusmods.com/skyrimspecialedition/mods/83261,skyrimspecialedition,83261,,,,JOJ; HOH; MOM; DOD,JOJ: New Armors & Clothing - Exotic; HOH: New Armors & Clothing - Exotic; MOM: New Armors & Clothing - Exotic; DOD: New Armors & Clothing - Exotic,JOJ: 1.1.0.0; HOH: 1.1.0.0; MOM: 1.1.0.0; DOD: 1.1.0.0,Catalog Item,Needs Weight,,2026-05-23
skyrimspecialedition-145137,4th Unknown's Armors - Sentinel Addon,4th Unknown's Armors - Sentinel Addon,Unknown,https://www.nexusmods.com/skyrimspecialedition/mods/145137,skyrimspecialedition,145137,,,,JOJ; TOT; HOH; MOM; DOD,JOJ: New Armors & Clothing - Immersive; TOT: Armors & Clothing; HOH: New Armors & Clothing - Immersive; MOM: New Armors & Clothing - Immersive; DOD: New Armors & Clothing - Immersive,JOJ: 1.0.0.0; TOT: 1.0.0.0; HOH: 1.0.0.0; MOM: 1.0.0.0; DOD: 1.0.0.0,Catalog Item,Needs Weight,,2026-05-23
skyrimspecialedition-109333,Adventurer Armor - My Version SE by Xtudo,Adventurer Armor - My Version SE by Xtudo,Unknown,https://www.nexusmods.com/skyrimspecialedition/mods/109333,skyrimspecialedition,109333,,,,JOJ; TOT; HOH; MOM; DOD,JOJ: New Armors & Clothing - Immersive; TOT: Armors & Clothing; HOH: New Armors & Clothing - Immersive; MOM: New Armors & Clothing - Immersive; DOD: New Armors & Clothing - Immersive,JOJ: 1.0.0.0; TOT: 1.0.0.0; HOH: 1.0.0.0; MOM: 1.0.0.0; DOD: 1.0.0.0,Catalog Item,Needs Weight,,2026-05-23
skyrimspecialedition-91741,Adventurer HDT-SMP Armor,Adventurer HDT-SMP Armor,Unknown,https://www.nexusmods.com/skyrimspecialedition/mods/91741,skyrimspecialedition,91741,,,,JOJ; TOT; HOH; MOM; DOD,JOJ: New Armors & Clothing - Immersive; TOT: Armors & Clothing; HOH: New Armors & Clothing - Immersive; MOM: New Armors & Clothing - Immersive; DOD: New Armors & Clothing - Immersive,JOJ: 1.0.0.0; TOT: 1.0.0.0; HOH: 1.0.0.0; MOM: 1.0.0.0; DOD: 1.0.0.0,Catalog Item,Needs Weight,,2026-05-23
skyrimspecialedition-95089,Aegis Anuad,Aegis Anuad,Unknown,https://www.nexusmods.com/skyrimspecialedition/mods/95089,skyrimspecialedition,95089,,,,JOJ; TOT; HOH; MOM; DOD,JOJ: New Armors & Clothing - Immersive; TOT: Armors & Clothing; HOH: New Armors & Clothing - Immersive; MOM: New Armors & Clothing - Immersive; DOD: New Armors & Clothing - Immersive,JOJ: 1.1.0.0; TOT: 1.1.0.0; HOH: 1.1.0.0; MOM: 1.1.0.0; DOD: 1.1.0.0,Catalog Item,Needs Weight,,2026-05-23
skyrimspecialedition-165651,Aegyptus,Aegyptus,Unknown,https://www.nexusmods.com/skyrimspecialedition/mods/165651,skyrimspecialedition,165651,,,,JOJ; HOH; MOM; DOD,JOJ: New Armors & Clothing - Exotic; HOH: New Armors & Clothing - Exotic; MOM: New Armors & Clothing - Exotic; DOD: New Armors & Clothing - Exotic,JOJ: 1.1.0.0; HOH: 1.1.0.0; MOM: 1.1.0.0; DOD: 1.1.0.0,Catalog Item,Needs Weight,,2026-05-23
skyrimspecialedition-119440,Ancient Bone Armor,Ancient Bone Armor,Unknown,https://www.nexusmods.com/skyrimspecialedition/mods/119440,skyrimspecialedition,119440,,,,JOJ; HOH; MOM; DOD,JOJ: New Armors & Clothing - Exotic; HOH: New Armors & Clothing - Immersive; MOM: New Armors & Clothing - Immersive; DOD: New Armors & Clothing - Immersive,JOJ: 1.4.0.0; HOH: 1.4.0.0; MOM: 1.4.0.0; DOD: 1.4.0.0,Catalog Item,Needs Weight,,2026-05-23
skyrimspecialedition-145584,Armor of Clavicus Vile (HDT-SMP),Armor of Clavicus Vile (HDT-SMP),Unknown,https://www.nexusmods.com/skyrimspecialedition/mods/145584,skyrimspecialedition,145584,,,,JOJ; TOT; HOH; MOM; DOD,JOJ: New Armors & Clothing - Immersive; TOT: Armors & Clothing; HOH: New Armors & Clothing - Immersive; MOM: New Armors & Clothing - Immersive; DOD: New Armors & Clothing - Immersive,JOJ: f1.00; TOT: f1.00; HOH: f1.00; MOM: f1.00; DOD: f1.00,Catalog Item,Needs Weight,,2026-05-23
skyrimspecialedition-113809,Armor of Mehrunes Dagon,Armor of Mehrunes Dagon,Unknown,https://www.nexusmods.com/skyrimspecialedition/mods/113809,skyrimspecialedition,113809,,,,JOJ; TOT; HOH; MOM; DOD,JOJ: New Armors & Clothing - Immersive; TOT: Armors & Clothing; HOH: New Armors & Clothing - Immersive; MOM: New Armors & Clothing - Immersive; DOD: New Armors & Clothing - Immersive,JOJ: 1.1.0.0; TOT: 1.1.0.0; HOH: 1.1.0.0; MOM: 1.1.0.0; DOD: 1.1.0.0,Catalog Item,Needs Weight,,2026-05-23
skyrimspecialedition-129809,Armor of Nocturnal,Armor of Nocturnal,Unknown,https://www.nexusmods.com/skyrimspecialedition/mods/129809,skyrimspecialedition,129809,,,,JOJ; TOT; HOH; MOM; DOD,JOJ: New Armors & Clothing - Immersive; TOT: Armors & Clothing; HOH: New Armors & Clothing - Immersive; MOM: New Armors & Clothing - Immersive; DOD: New Armors & Clothing - Immersive,JOJ: 1.1.0.0; TOT: 1.1.0.0; HOH: 1.1.0.0; MOM: 1.1.0.0; DOD: 1.1.0.0,Catalog Item,Needs Weight,,2026-05-23
