modlist_label,mo2_instance,profile,mod_name,mod_priority,plugin_file,plugin_path,form_id,editor_id,full_name,full_name_source,armor_category,bod_template_type,keyword_category,armor_rating,value,weight,biped_slots,biped_slot_numbers,keyword_edids,keyword_form_ids,material_keywords,armor_slot_keywords,vendor_keywords,enchantment_form_id,template_form_id,male_world_model,female_world_model
DoD,D:\Wabbajack\modlists\DoD,Diaries of Dibella - Lord's Vision,DOD - ParallaxGen Output (Lord's Vision),27,PG_1.esp,D:\Wabbajack\modlists\DoD\mods\DOD - ParallaxGen Output (Lord's Vision)\PG_1.esp,0xAD3AD228,0_FloatingSwordMorihausArmor,Armor of Morihaus,plugin,Heavy,Heavy,Heavy,0.0,7500,38.0,Body,32,ArmorHeavy; ArmorMaterialDaedric; ArmorCuirass; VendorItemArmor; VendorItemDaedricArtifact; DaedricArtifact; MagicDisallowEnchanting,0x0006BBD2; 0x0006BBD4; 0x0006C0EC; 0x0008F959; 0x000917E8; 0x000A8668; 0x000C27BD,ArmorMaterialDaedric,ArmorCuirass,VendorItemArmor; VendorItemDaedricArtifact,0xAD3AD22A,,_pgpatcher_dups\1\armor\ebony\m\cuirassgnd.nif,Armor\Ebony\M\CuirassGND.nif
DoD,D:\Wabbajack\modlists\DoD,Diaries of Dibella - Lord's Vision,DOD - xEdit Output,30,DOD - Armour WAAT Patch 3.esp,D:\Wabbajack\modlists\DoD\mods\DOD - xEdit Output\DOD - Armour WAAT Patch 3.esp,0x09000801,_AradiaLivingArmourMJE,Aradia Living Armour Mucus ( Jellyfish ),plugin,Light,Light,Light,0.0,1500,5.0,Body,32,ArmorMaterialDaedric; VendorItemArmor; ArmorCuirass; ArmorLight,0x0006BBD4; 0x0008F959; 0x0006C0EC; 0x0006BBD3,ArmorMaterialDaedric,ArmorCuirass,VendorItemArmor,,,Aradia Living Armor JE\BodyWorld.nif,Aradia Living Armor JE\BodyWorld.nif
DoD,D:\Wabbajack\modlists\DoD,Diaries of Dibella - Lord's Vision,DOD - xEdit Output,30,DOD - Armour WAAT Patch 3.esp,D:\Wabbajack\modlists\DoD\mods\DOD - xEdit Output\DOD - Armour WAAT Patch 3.esp,0x09000D63,_AradiaLivingArmourJE,Aradia Living Armour ( Jellyfish ),plugin,Light,Light,Light,0.0,1500,5.0,Body,32,ArmorMaterialDaedric; ArmorCuirass; VendorItemArmor; ArmorLight,0x0006BBD4; 0x0006C0EC; 0x0008F959; 0x0006BBD3,ArmorMaterialDaedric,ArmorCuirass,VendorItemArmor,,,Aradia Living Armor JE\BodyWorld.nif,Aradia Living Armor JE\BodyWorld.nif
DoD,D:\Wabbajack\modlists\DoD,Diaries of Dibella - Lord's Vision,DOD - xEdit Output,30,DOD - Armour WAAT Patch 3.esp,D:\Wabbajack\modlists\DoD\mods\DOD - xEdit Output\DOD - Armour WAAT Patch 3.esp,0x0D000D64,00_SuccubusGloves,Succubus Gloves,plugin,Light,Light,Light,0.0,625,6.0,Hands,33,ArmorGauntlets; VendorItemArmor; PerkFistsDaedric; ArmorLight; DLC2ArmorMaterialStalhrimLight,0x0006C0EF; 0x0008F959; 0x0002C17B; 0x0006BBD3; 0x02024107,DLC2ArmorMaterialStalhrimLight,ArmorGauntlets,VendorItemArmor,,,SuccubusGND\SuccubusGND.nif,SuccubusGND\SuccubusGND.nif
DoD,D:\Wabbajack\modlists\DoD,Diaries of Dibella - Lord's Vision,DOD - xEdit Output,30,DOD - Armour WAAT Patch 3.esp,D:\Wabbajack\modlists\DoD\mods\DOD - xEdit Output\DOD - Armour WAAT Patch 3.esp,0x0D000D65,00_SuccubusHorns,Succubus Horns,plugin,Light,Light,Light,0.0,625,6.0,Circlet,42,VendorItemArmor; DLC2ArmorMaterialStalhrimLight; PerkFistsDaedric; ArmorLight,0x0008F959; 0x02024107; 0x0002C17B; 0x0006BBD3,DLC2ArmorMaterialStalhrimLight,,VendorItemArmor,,,SuccubusGND\SuccubusGND.nif,SuccubusGND\SuccubusGND.nif
DoD,D:\Wabbajack\modlists\DoD,Diaries of Dibella - Lord's Vision,DOD - xEdit Output,30,DOD - Armour WAAT Patch 3.esp,D:\Wabbajack\modlists\DoD\mods\DOD - xEdit Output\DOD - Armour WAAT Patch 3.esp,0x0D000D66,00_SuccubusTail,Succubus Tail,plugin,Light,Light,Light,0.0,300,6.0,Tail,40,VendorItemArmor; DLC2ArmorMaterialStalhrimLight; PerkFistsDaedric; ArmorLight,0x0008F959; 0x02024107; 0x0002C17B; 0x0006BBD3,DLC2ArmorMaterialStalhrimLight,,VendorItemArmor,,,SuccubusGND\SuccubusGND.nif,SuccubusGND\SuccubusGND.nif
DoD,D:\Wabbajack\modlists\DoD,Diaries of Dibella - Lord's Vision,DOD - xEdit Output,30,DOD - Armour WAAT Patch 3.esp,D:\Wabbajack\modlists\DoD\mods\DOD - xEdit Output\DOD - Armour WAAT Patch 3.esp,0x0D000D67,00_SuccubusTopLace,Succubus Top Lace,plugin,Light,Light,Light,0.0,300,6.0,Custom Slot (49),49,PerkFistsDaedric; VendorItemArmor; DLC2ArmorMaterialStalhrimLight; ArmorLight,0x0002C17B; 0x0008F959; 0x02024107; 0x0006BBD3,DLC2ArmorMaterialStalhrimLight,,VendorItemArmor,,,SuccubusGND\SuccubusGND.nif,SuccubusGND\SuccubusGND.nif
DoD,D:\Wabbajack\modlists\DoD,Diaries of Dibella - Lord's Vision,DOD - xEdit Output,30,DOD - Armour WAAT Patch 3.esp,D:\Wabbajack\modlists\DoD\mods\DOD - xEdit Output\DOD - Armour WAAT Patch 3.esp,0x1D000877,COCOMage_necklace1,[COCO] Mage Necklace I,plugin,Clothing,Clothing,Clothing,0.0,400,1.0,Amulet,35,ArmorMaterialDaedric; ArmorClothing; VendorItemClothing,0x0006BBD4; 0x0006BBE8; 0x0008F95B,ArmorMaterialDaedric,,VendorItemClothing,,,Coco_Cloths\Mysterious Mage\gnd\necklace.nif,Coco_Cloths\Mysterious Mage\gnd\necklace.nif
DoD,D:\Wabbajack\modlists\DoD,Diaries of Dibella - Lord's Vision,DOD - xEdit Output,30,DOD - Armour WAAT Patch 3.esp,D:\Wabbajack\modlists\DoD\mods\DOD - xEdit Output\DOD - Armour WAAT Patch 3.esp,0x1D000879,COCOMage_topoutshometal1,[COCO] Mage Pauldrons I,plugin,Clothing,Clothing,Clothing,0.0,1500,1.0,Custom Slot (59),59,ArmorClothing; VendorItemClothing; ClothingBody; ArmorMaterialDaedric,0x0006BBE8; 0x0008F95B; 0x000A8657; 0x0006BBD4,ArmorMaterialDaedric,ClothingBody,VendorItemClothing,,,Coco_Cloths\Mysterious Mage\gnd\topoutshometal.nif,Coco_Cloths\Mysterious Mage\gnd\topoutshometal.nif
DoD,D:\Wabbajack\modlists\DoD,Diaries of Dibella - Lord's Vision,DOD - xEdit Output,30,DOD - Armour WAAT Patch 3.esp,D:\Wabbajack\modlists\DoD\mods\DOD - xEdit Output\DOD - Armour WAAT Patch 3.esp,0x1D00087B,COCOMage_TopoutSmpT1,[COCO] Mage Outerwear I Alt (SMP),plugin,Clothing,Clothing,Clothing,0.0,400,1.0,Custom Slot (46),46,ArmorClothing; VendorItemClothing; ClothingBody; ArmorMaterialDaedric,0x0006BBE8; 0x0008F95B; 0x000A8657; 0x0006BBD4,ArmorMaterialDaedric,ClothingBody,VendorItemClothing,,,Coco_Cloths\Mysterious Mage\gnd\topout.nif,Coco_Cloths\Mysterious Mage\gnd\topout.nif
