catalog_id,display_name,canonical_mod_name,armor_weight_tier,nexus_url,nexus_game_domain,nexus_mod_id,image_url,image_source_url,image_rank,included_in_modlists,source_sections,source_versions,entry_type,status,notes,last_verified
skyrimspecialedition-163162,(Grimlook33) Night Prowler Bodysuit,(Grimlook33) Night Prowler Bodysuit,Clothing,https://www.nexusmods.com/skyrimspecialedition/mods/163162,skyrimspecialedition,163162,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/163162/163162-1761878775-1221101839.jpg,https://www.nexusmods.com/skyrimspecialedition/mods/163162,mod-search-thumbnail,JOJ; HOH; MOM; DOD,JOJ: New Armors & Clothing - Exotic; HOH: New Armors & Clothing - Exotic; MOM: New Armors & Clothing - Exotic; DOD: New Armors & Clothing - Exotic,JOJ: 1.0.0.0; HOH: 1.0.0.0; MOM: 1.0.0.0; DOD: 1.0.0.0,Catalog Item,Ready,"Mod Search category: Clothing and Accessories; summary: A sexy tight fitting bodysuit in 2 texture variants, leather and latex. For the 3BA and BHUNP body; tier inferred: Clothing (clothing/outfit wording without armor wording)",2026-05-23
skyrimspecialedition-138426,[Ashtoreth] Frostwardens Regalia,[Ashtoreth] Frostwardens Regalia,Unknown,https://www.nexusmods.com/skyrimspecialedition/mods/138426,skyrimspecialedition,138426,,,,JOJ; HOH; MOM; DOD,JOJ: New Armors & Clothing - Immersive; HOH: New Armors & Clothing - Immersive; MOM: New Armors & Clothing - Immersive; DOD: New Armors & Clothing - Immersive,JOJ: 1.0.0.0; HOH: 1.0.0.0; MOM: 1.0.0.0; DOD: 1.0.0.0,Catalog Item,Needs Weight,,2026-05-23
skyrimspecialedition-120954,[Ashtoreth] Maya Instinct Killer,[Ashtoreth] Maya Instinct Killer,Unknown,https://www.nexusmods.com/skyrimspecialedition/mods/120954,skyrimspecialedition,120954,,,,JOJ; HOH; MOM; DOD,JOJ: New Armors & Clothing - Immersive; HOH: New Armors & Clothing - Immersive; MOM: New Armors & Clothing - Immersive; DOD: New Armors & Clothing - Immersive,JOJ: 1.0.0.0; HOH: 1.0.0.0; MOM: 1.0.0.0; DOD: 1.0.0.0,Catalog Item,Needs Weight,,2026-05-23
skyrimspecialedition-132260,[ELLE] Bio Spike,[ELLE] Bio Spike,Unknown,https://www.nexusmods.com/skyrimspecialedition/mods/132260,skyrimspecialedition,132260,,,,JOJ; HOH; MOM; DOD,JOJ: New Armors & Clothing - Exotic; HOH: New Armors & Clothing - Exotic; MOM: New Armors & Clothing - Exotic; DOD: New Armors & Clothing - Exotic,JOJ: Main Installer; HOH: Main Installer; MOM: Main Installer; DOD: Main Installer,Catalog Item,Needs Weight,,2026-05-23
skyrimspecialedition-83261,[full_inu] Queen Marika's Dress SSE,[full_inu] Queen Marika's Dress SSE,Unknown,https://www.nexusmods.com/skyrimspecialedition/mods/83261,skyrimspecialedition,83261,,,,JOJ; HOH; MOM; DOD,JOJ: New Armors & Clothing - Exotic; HOH: New Armors & Clothing - Exotic; MOM: New Armors & Clothing - Exotic; DOD: New Armors & Clothing - Exotic,JOJ: 1.1.0.0; HOH: 1.1.0.0; MOM: 1.1.0.0; DOD: 1.1.0.0,Catalog Item,Needs Weight,,2026-05-23
skyrimspecialedition-145137,4th Unknown's Armors - Sentinel Addon,4th Unknown's Armors - Sentinel Addon,Unknown,https://www.nexusmods.com/skyrimspecialedition/mods/145137,skyrimspecialedition,145137,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/145137/145137-1745083639-1040985703.png,https://www.nexusmods.com/skyrimspecialedition/mods/145137,mod-search-thumbnail,JOJ; TOT; HOH; MOM; DOD,JOJ: New Armors & Clothing - Immersive; TOT: Armors & Clothing; HOH: New Armors & Clothing - Immersive; MOM: New Armors & Clothing - Immersive; DOD: New Armors & Clothing - Immersive,JOJ: 1.0.0.0; TOT: 1.0.0.0; HOH: 1.0.0.0; MOM: 1.0.0.0; DOD: 1.0.0.0,Catalog Item,Needs Weight,Mod Search category: Armour; summary: Add-on for Thuldor's Sentinel - An Equipment Overhaul to modularly add 4thUnknown's armor mods to Sentinel's leveled lists and be distributed to containers and actors.,2026-05-23
skyrimspecialedition-109333,Adventurer Armor - My Version SE by Xtudo,Adventurer Armor - My Version SE by Xtudo,Unknown,https://www.nexusmods.com/skyrimspecialedition/mods/109333,skyrimspecialedition,109333,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/109333/117376-1705326620-1853582037.jpeg,https://www.nexusmods.com/skyrimspecialedition/mods/109333,mod-search-thumbnail,JOJ; TOT; HOH; MOM; DOD,JOJ: New Armors & Clothing - Immersive; TOT: Armors & Clothing; HOH: New Armors & Clothing - Immersive; MOM: New Armors & Clothing - Immersive; DOD: New Armors & Clothing - Immersive,JOJ: 1.0.0.0; TOT: 1.0.0.0; HOH: 1.0.0.0; MOM: 1.0.0.0; DOD: 1.0.0.0,Catalog Item,Needs Weight,"Mod Search category: Armour; summary: Full beast races support. Non-HDT patch. No Skirt version. ""Warm"" keyword added. Several fixes and tweaks. 4K-2K. ESL.",2026-05-23
skyrimspecialedition-91741,Adventurer HDT-SMP Armor,Adventurer HDT-SMP Armor,Light,https://www.nexusmods.com/skyrimspecialedition/mods/91741,skyrimspecialedition,91741,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/91741/91741-1684570475-1240779486.jpeg,https://www.nexusmods.com/skyrimspecialedition/mods/91741,mod-search-thumbnail,JOJ; TOT; HOH; MOM; DOD,JOJ: New Armors & Clothing - Immersive; TOT: Armors & Clothing; HOH: New Armors & Clothing - Immersive; MOM: New Armors & Clothing - Immersive; DOD: New Armors & Clothing - Immersive,JOJ: 1.0.0.0; TOT: 1.0.0.0; HOH: 1.0.0.0; MOM: 1.0.0.0; DOD: 1.0.0.0,Catalog Item,Ready,Mod Search category: Armour; summary: Unisex HDT-SMP standalone light armor and backpack.; tier inferred: Light (mentions light armor),2026-05-23
skyrimspecialedition-95089,Aegis Anuad,Aegis Anuad,Unknown,https://www.nexusmods.com/skyrimspecialedition/mods/95089,skyrimspecialedition,95089,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/95089/95089-1692813848-1898189616.jpeg,https://www.nexusmods.com/skyrimspecialedition/mods/95089,mod-search-thumbnail,JOJ; TOT; HOH; MOM; DOD,JOJ: New Armors & Clothing - Immersive; TOT: Armors & Clothing; HOH: New Armors & Clothing - Immersive; MOM: New Armors & Clothing - Immersive; DOD: New Armors & Clothing - Immersive,JOJ: 1.1.0.0; TOT: 1.1.0.0; HOH: 1.1.0.0; MOM: 1.1.0.0; DOD: 1.1.0.0,Catalog Item,Needs Weight,Mod Search category: Armour; summary: Adds 4 altmer themed armor sets and 2 weapons,2026-05-23
skyrimspecialedition-165651,Aegyptus,Aegyptus,Clothing,https://www.nexusmods.com/skyrimspecialedition/mods/165651,skyrimspecialedition,165651,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/165651/165651-1764324991-1781265883.png,https://www.nexusmods.com/skyrimspecialedition/mods/165651,mod-search-thumbnail,JOJ; HOH; MOM; DOD,JOJ: New Armors & Clothing - Exotic; HOH: New Armors & Clothing - Exotic; MOM: New Armors & Clothing - Exotic; DOD: New Armors & Clothing - Exotic,JOJ: 1.1.0.0; HOH: 1.1.0.0; MOM: 1.1.0.0; DOD: 1.1.0.0,Catalog Item,Ready,Mod Search category: Clothing and Accessories; summary: Egyptian themed outfit for CBBE 3BA and BHUNP; tier inferred: Clothing (clothing/outfit wording without armor wording),2026-05-23
skyrimspecialedition-119440,Ancient Bone Armor,Ancient Bone Armor,Unknown,https://www.nexusmods.com/skyrimspecialedition/mods/119440,skyrimspecialedition,119440,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/119440/119440-1718051807-94289582.jpeg,https://www.nexusmods.com/skyrimspecialedition/mods/119440,mod-search-thumbnail,JOJ; HOH; MOM; DOD,JOJ: New Armors & Clothing - Exotic; HOH: New Armors & Clothing - Immersive; MOM: New Armors & Clothing - Immersive; DOD: New Armors & Clothing - Immersive,JOJ: 1.4.0.0; HOH: 1.4.0.0; MOM: 1.4.0.0; DOD: 1.4.0.0,Catalog Item,Needs Weight,"Mod Search category: Armour; summary: A craftable modular armor set made of bones and leather.For CBBE, 3BA, UBE and BHUNP.",2026-05-23
skyrimspecialedition-145584,Armor of Clavicus Vile (HDT-SMP),Armor of Clavicus Vile (HDT-SMP),Unknown,https://www.nexusmods.com/skyrimspecialedition/mods/145584,skyrimspecialedition,145584,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/145584/145584-1742769588-2143608128.png,https://www.nexusmods.com/skyrimspecialedition/mods/145584,mod-search-thumbnail,JOJ; TOT; HOH; MOM; DOD,JOJ: New Armors & Clothing - Immersive; TOT: Armors & Clothing; HOH: New Armors & Clothing - Immersive; MOM: New Armors & Clothing - Immersive; DOD: New Armors & Clothing - Immersive,JOJ: f1.00; TOT: f1.00; HOH: f1.00; MOM: f1.00; DOD: f1.00,Catalog Item,Needs Weight,"Mod Search category: Armour; summary: Adds new standalone armor, shield and sword inspired by Dark Fantasy. (ESL Flagged, 4KResolution, HDT-SMP)",2026-05-23
skyrimspecialedition-113809,Armor of Mehrunes Dagon,Armor of Mehrunes Dagon,Unknown,https://www.nexusmods.com/skyrimspecialedition/mods/113809,skyrimspecialedition,113809,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/113809/113809-1729987386-527556680.png,https://www.nexusmods.com/skyrimspecialedition/mods/113809,mod-search-thumbnail,JOJ; TOT; HOH; MOM; DOD,JOJ: New Armors & Clothing - Immersive; TOT: Armors & Clothing; HOH: New Armors & Clothing - Immersive; MOM: New Armors & Clothing - Immersive; DOD: New Armors & Clothing - Immersive,JOJ: 1.1.0.0; TOT: 1.1.0.0; HOH: 1.1.0.0; MOM: 1.1.0.0; DOD: 1.1.0.0,Catalog Item,Needs Weight,"Mod Search category: Weapons and Armour; summary: Adds new standalone armor and mace inspired by Dark Fantasy. (ESL Flagged, 4K Resolution)",2026-05-23
skyrimspecialedition-129809,Armor of Nocturnal,Armor of Nocturnal,Unknown,https://www.nexusmods.com/skyrimspecialedition/mods/129809,skyrimspecialedition,129809,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/129809/129809-1729987532-1912115267.png,https://www.nexusmods.com/skyrimspecialedition/mods/129809,mod-search-thumbnail,JOJ; TOT; HOH; MOM; DOD,JOJ: New Armors & Clothing - Immersive; TOT: Armors & Clothing; HOH: New Armors & Clothing - Immersive; MOM: New Armors & Clothing - Immersive; DOD: New Armors & Clothing - Immersive,JOJ: 1.1.0.0; TOT: 1.1.0.0; HOH: 1.1.0.0; MOM: 1.1.0.0; DOD: 1.1.0.0,Catalog Item,Needs Weight,"Mod Search category: Armour; summary: Adds new standalone armor inspired by Dark Fantasy. (ESL Flagged, 4K Resolution)",2026-05-23
skyrimspecialedition-139513,Ashtoreth Frostwardens Regalia Cyb's Edit,Ashtoreth Frostwardens Regalia Cyb's Edit,Unknown,https://www.nexusmods.com/skyrimspecialedition/mods/139513,skyrimspecialedition,139513,https://staticdelivery.nexusmods.com/mods/1704/images/thumbnails/139513/139513-1737351208-1154253311.jpeg,https://www.nexusmods.com/skyrimspecialedition/mods/139513,mod-search-thumbnail,JOJ; HOH; MOM; DOD,JOJ: New Armors & Clothing - Immersive; HOH: New Armors & Clothing - Immersive; MOM: New Armors & Clothing - Immersive; DOD: New Armors & Clothing - Immersive,JOJ: 2.2.0.0; HOH: 2.2.0.0; MOM: 2.2.0.0; DOD: 2.2.0.0,Catalog Item,Needs Weight,"Mod Search category: Armour; summary: Ashtoreth Frostwarden Regalia by Ashtoreth but with working bodyslide and esp fixes. Packaged in zeroed sliders for OBody, and pants repurposed from Monster Hunter Armor.",2026-05-23
